,tweets
50, 'drop your favorite moment from qatar world cup 2022 
51," ""✨jeon jungkook best solo performer ✨\n\n#jungkook is truly a history maker"
52, 'snapchat ai has a different idea on who won the world cup 2022. 
53, 'what’s the biggest i’m not him moment in football?'
54, 'ronaldo vs south korea 🇰🇷 (world cup 2022)\n\n0 goals\n0 assists\n0 chances created\n0 successful dribbles\n0 tackles\n0 ground duels won\n0 key passes\n0 crosses\n0 long balls\n8 possessions lost\n1 big chance missed\n1 error leading to goal 
55, 'palestine automatically took centre stage in qatar world cup 2022
56, 'remember when ramsdale comforted jude after the eng vs fra quarterfinal - world cup 2022 🥺 
57, 'alexis was inarguably the best player of the world cup 2022 final
58," ""pov : it's year 2050 and ronaldo is still playing to prove himself whereas it's 28th anniversary of messi winning the world cup 2022 "
59, 'moonxbt issues fifa world cup 2022 champion derivative 
60, 'consistent kohli !!\n•most runs for india in asia cup 2022.\n•most runs in t20 world cup 2022.\n•most runs for india in bgt 2023.\n•most runs for rcb in ipl 2023. 
61, 'too small
62," ""[stream] 🎵\n\nel mv de dreamers"
63, 'throwback when achraf hakimi’s wife was upset at the world cup 2022 that he celebrated the win with his mum
64, 'guess the autograph! \n\ncan you guess the footballer who signed this shirt?...hint: he has irish ancestry and has won the world cup 🏆\n\n
65, 'are you okay nadir ali
66, 'holy grail of world cup tickets #worldcup2022 #worldcup #memorabilia #ticket 
67, 'they define hardwork and talent 💯🤍.\n\n#ronaldo #messi #football #era #champions #ucl #portugal  #argentina #worldcup2022 
68, 'this is for you indians\ni like when you compare babar with virat and i wish you will continue it. because babar is and will be  breaking records of virat.\n#pakvnz #ipl #babarazam𓃵 #viratkohli #bcci #indians #worldcup2022 #indian #srk𓃵 #srhvskkr 
69, 'back to back blockbuster games !!! #worldcup2022\n\nwhat a night\nweekend cant better'
70, 'happy birthday the mother of la joya 💎👑  alicia we all loves u soo muchhh ❤️ god bless you
71, 'still affected by the world cup❤️🇲🇦 #morocco #football #worldcup2022 
72, 'we will never forget how nico cantor showed stunning passion and love for our beloved team of morocco 🇲🇦 i get goose bumps every time i watch this video
73, 'merci @nicocantor1 pour ce moment  et cette vidéo qui restera un grand souvenir 🇲🇦 
74," ""in walsh's tenure"
75, 'a historic performance deserves some historic appreciation 🙌🏼 #lovindoha #messi #worldcup2022 via @thescudman 🇶🇦 
76, 'catch your cheating spouse #cheat #betrayal #unfaithful #worldcup2022\n#100daysofcode #spying #investigating #javascript #housewifeday #cheating #cheatingwife #cheatingboyfriend #cheatingpartner #cheatinghousewife #cheatingmen t\n\nis there any hacking attempts on your 
77, 'favorite moment in world cup 2022🇵🇰❤️❤️\n#babarazam𓃵 #rizwan #shaheenafridi #worldcup2022 
78, 'stream to 2b for jungkook \n#streamforjungkook \n#jungkook #kookie #jeonjungkook #dreamers #worldcup2022 #qatar2022 
79, 'today’s running 🏃🏻\u200d♂️ kit. #️⃣7️⃣7️⃣\n‘lamb of god’ 🐑🤘🏻 in the ears 🎧
80, '🕌eid prayers will be hosted at the education city stadium for the first time ever
81, 'for the first time ever
82," ""afghani bowler took buttler's wicket"
83, '⚪️england⚪️\ndefensive transition report \n\n⚽️world cup qatar 2022\n🆚 england vs iran\n🕒 21.11.2022 16:00\n🏟️ al thumama stadium\n\ndata collected by @hudl sportscode\n\n#football #worldcup2022 #england #iran 
84, 'cause $alpine #sports #football #crypto project pumping!\n\ni expect #p2e #nft #predictipn project $nfrb good movement!\n\n#football seems to be possible meta even if the #worldcup2022 is over!\n\ndaily just breaking out 🏌️\u200d♂️ 
85, 'bringing the quran to latin america | vlog #9 #worldcup2022 
86, '$nrfb gearing up! fan token 
87," ""@amitttrmfc wanted to make a compilation of cristiano's goals in the world cup 2022. apparently you can't make a compilation with 1 pk goal. pendu ruined my mood. 😭😭 "
88, 'world cup 2022 vibes were unmatched 😂 
89, 'the media mentioned jungkook again for his impact with dreamers: \n\n&lt; (...) there are a tremendous amount of fans waiting for their favourite k-pop idols to bless the sands of qatar
90, 'nostalgic for world cup 2022?\n\nkick off your visit to qatar today with #qatarairways and hayya\n\n@hiaqatar \n@visitqatar 
91, 'lionel messi in world cup 2022:\n\n🇸🇦 saudi arabia: ⚽️\n🇲🇽 mexico: ⚽️🅰️ + motm\n🇵🇱 poland:❌️\n🇦🇺 australia: ⚽️ + motm\n🇳🇱 netherlands: ⚽️🅰️ + motm\n🇭🇷 croatia: ⚽️🅰️ + motm\n🇫🇷 france: ⚽️⚽️ + motm\n\none of the best world cup performances ever. 🐐 
92, 'most runs for india in asia cup 2022.\nmost runs in t20 world cup 2022.\nmost runs for india in bgt 2023.\nmost runs for rcb in ipl 2023. \n\nking kohli has been in some ridiculous touch since asia cup 2022. 
93, 'project file by recailed yassine bounou bono morocco world cup 2022 wc soccer football sevilla fc fancam edit 
94, 'if the talks are to believed
95, 'media: “the hallyu wave has finally arrived in qatar…there are a tremendous amount of fans waiting for their favourite k-pop idols to bless the sands of qatar
96, 'a flying finish from freddie 🇸🇪\n\n@freddie | #fifaworldcup 
97, 'almost 4 months since he won world cup 2022
98, '🚨rudi garcia apparently played the world cup 2022 theme song through the speaker in the dressing room of al nassr. cristiano immediately asked him to stop it and walked out of the room. this is why al nassr have sacked him. @marca🏅 
99, 'back in action 🔙\n\nsaudi arabia and al hilal full-back al shahrani played his opening minutes since injury at world cup 2022 🏟\n\n#roshnsaudileague | @alhilal_en | @iyasser12 
100, 'only player to score both in champions league and world cup final and win the both trophies (being to both finals more than once)\nwon:\nworld cup(2022) and\nucl (2006
101, 'most runs for india in asia cup 2022.\nmost runs in t20 world cup 2022.\nmost runs for india in bgt 2023.\nmost runs for rcb in ipl 2023. \n\nking kohli has been in some ridiculous touch since asia cup 2022. 
102, 'consistent kohli !!\n•most runs for india in asia cup 2022.\n•most runs in t20 world cup 2022.\n•most runs for india in bgt 2023.\n•most runs for rcb in ipl 2023. 
103, 'most runs for india in asia cup 2022.\nmost runs in t20 world cup 2022.\nmost runs for india in bgt 2023.\nmost runs for rcb in ipl 2023. \n\nking kohli has been in some ridiculous touch since asia cup 2022. 
104, 'most runs for india in asia cup 2022.\nmost runs in t20 world cup 2022.\nmost runs for india in bgt 2023.\nmost runs for rcb in ipl 2023. \n\ngood morning 🌄\n\n#viratkohli𓃵 
105, '🇯🇵 @okazakiofficial has a habit of being in the right place at the right time\n\n#fifaworldcup 
106, 'guess the autograph! \n\ncan you guess the footballer who signed this shirt?...hint: he has irish ancestry and has won the world cup 🏆\n\n
107, 'are you okay nadir ali
108, 'holy grail of world cup tickets #worldcup2022 #worldcup #memorabilia #ticket 
109, 'they define hardwork and talent 💯🤍.\n\n#ronaldo #messi #football #era #champions #ucl #portugal  #argentina #worldcup2022 
110, 'this is for you indians\ni like when you compare babar with virat and i wish you will continue it. because babar is and will be  breaking records of virat.\n#pakvnz #ipl #babarazam𓃵 #viratkohli #bcci #indians #worldcup2022 #indian #srk𓃵 #srhvskkr 
111, 'back to back blockbuster games !!! #worldcup2022\n\nwhat a night\nweekend cant better'
112, 'happy birthday the mother of la joya 💎👑  alicia we all loves u soo muchhh ❤️ god bless you
113, 'still affected by the world cup❤️🇲🇦 #morocco #football #worldcup2022 
114, 'we will never forget how nico cantor showed stunning passion and love for our beloved team of morocco 🇲🇦 i get goose bumps every time i watch this video
115, 'merci @nicocantor1 pour ce moment  et cette vidéo qui restera un grand souvenir 🇲🇦 
116," ""in walsh's tenure"
117, 'a historic performance deserves some historic appreciation 🙌🏼 #lovindoha #messi #worldcup2022 via @thescudman 🇶🇦 
118, 'catch your cheating spouse #cheat #betrayal #unfaithful #worldcup2022\n#100daysofcode #spying #investigating #javascript #housewifeday #cheating #cheatingwife #cheatingboyfriend #cheatingpartner #cheatinghousewife #cheatingmen t\n\nis there any hacking attempts on your 
119, 'favorite moment in world cup 2022🇵🇰❤️❤️\n#babarazam𓃵 #rizwan #shaheenafridi #worldcup2022 
120, 'stream to 2b for jungkook \n#streamforjungkook \n#jungkook #kookie #jeonjungkook #dreamers #worldcup2022 #qatar2022 
121, 'today’s running 🏃🏻\u200d♂️ kit. #️⃣7️⃣7️⃣\n‘lamb of god’ 🐑🤘🏻 in the ears 🎧
122, '🕌eid prayers will be hosted at the education city stadium for the first time ever
123, 'for the first time ever
124," ""afghani bowler took buttler's wicket"
125, '⚪️england⚪️\ndefensive transition report \n\n⚽️world cup qatar 2022\n🆚 england vs iran\n🕒 21.11.2022 16:00\n🏟️ al thumama stadium\n\ndata collected by @hudl sportscode\n\n#football #worldcup2022 #england #iran 
126, 'cause $alpine #sports #football #crypto project pumping!\n\ni expect #p2e #nft #predictipn project $nfrb good movement!\n\n#football seems to be possible meta even if the #worldcup2022 is over!\n\ndaily just breaking out 🏌️\u200d♂️ 
127, 'bringing the quran to latin america | vlog #9 #worldcup2022 
128, '$nrfb gearing up! fan token 
129," 'with celebrity ""aly goni ""\n@alygoni \nafter performing cupping session 😇 \n\n#alygoni #cupping #cuppingtherapy #hijama #hijamacupping #amas #qatarworldcup2022 #alygoni #jasly #drmahmoodkhan #hijamaguy "
130, 'the world cup was an opportunity for qatar to make a difference and highlight its capabilities as an arab country in the middle east in making a difference and developing in all fields since it was assigned to organize the world cup in 2010.\n#qatar  #qatarworldcup2022 
131, '18-12-2022\nhace 1 mes \n🇦🇷 ⭐️⭐️⭐️ ❤️\n\n#messi𓃵 \n#argentinacampeondelmundo \n#qatarworldcup2022 
132, 'jungkook is such a boyfriend material 😩✨\n\n#jungkook #jeonjungkook #jk #jungkooklive #jungkookinqatar #jungkookedit #btsjungkook #bts #btspavedthewayforall #btsarmy #dreamers2022 #dreamersbyjungkook #worldcupqatar2022 #qatarworldcup2022 
133, 'i’m down to the last 4! can anyone help me with these please? rts appreciated 🙏\nksa3🇸🇦 fra13🇫🇷 por9🇵🇹 gha18🇬🇭\n#panini #gotgotneed #qatarworldcup2022 
134, 'thousands died to make #qatarworldcup2022 possible and this man took his gold pieces from qatari owned television.'
135, 'lowkey freaking out rn! 1/10 messi @paniniamerica #cardcollector  #qatarworldcup2022 
136," ""is this mere coincidence or bola ahmed tinubu belongs to ouroboros?\n\nsame symbol was shown at #qatarworldcup2022 \n\nare there things we need to know about these signs?\n\ndon't just stand on mandate you know nothing about.\nshine your eyes!!! "
